abbrevs,region,names,ffdi_Median_mean_gwl2,ffdi_Median_p10_gwl2,ffdi_Median_p50_gwl2,ffdi_Median_p90_gwl2,ffdi_Median_std_gwl2,source_file,ffdi_Median_mean_gwl3,ffdi_Median_p10_gwl3,ffdi_Median_p50_gwl3,ffdi_Median_p90_gwl3,ffdi_Median_std_gwl3,ffdi_Median_mean_gwl15,ffdi_Median_p10_gwl15,ffdi_Median_p50_gwl15,ffdi_Median_p90_gwl15,ffdi_Median_std_gwl15
VIC,3,Victoria,0.428,0.0,0.1,1.675,0.751,ffdi_ndays_exceeding_75_allstats_gwl2_abschangeGWL12_ncra_reg.csv,,,,,,,,,,
WANorth,0,Western Australia North,9.673,0.425,9.025,18.725,6.802,ffdi_ndays_exceeding_75_allstats_gwl2_abschangeGWL12_ncra_reg.csv,,,,,,,,,,
WASouth,1,Western Australia South,7.021,1.175,6.8,13.375,4.401,ffdi_ndays_exceeding_75_allstats_gwl2_abschangeGWL12_ncra_reg.csv,,,,,,,,,,
NSW,2,New South Wales and Australian Capital Territory,,,,,,ffdi_ndays_exceeding_75_allstats_gwl3_abschangeGWL12_ncra_reg.csv,3.013,0.0,2.475,7.025,2.732,,,,,
NT,6,Northern Territory,,,,,,ffdi_ndays_exceeding_75_allstats_gwl3_abschangeGWL12_ncra_reg.csv,9.204,0.25,10.55,17.9,6.82,,,,,
QLDNorth,7,Queensland North,,,,,,ffdi_ndays_exceeding_75_allstats_gwl3_abschangeGWL12_ncra_reg.csv,1.728,0.0,0.325,5.1,2.434,,,,,
QLDSouth,8,Queensland South,,,,,,ffdi_ndays_exceeding_75_allstats_gwl3_abschangeGWL12_ncra_reg.csv,6.398,0.025,4.725,15.0,5.858,,,,,
SA,4,South Australia,,,,,,ffdi_ndays_exceeding_75_allstats_gwl3_abschangeGWL12_ncra_reg.csv,10.258,2.525,11.45,15.325,4.544,,,,,
TAS,5,Tasmania,,,,,,ffdi_ndays_exceeding_75_allstats_gwl3_abschangeGWL12_ncra_reg.csv,0.0,0.0,0.0,0.0,0.0,,,,,
VIC,3,Victoria,,,,,,ffdi_ndays_exceeding_75_allstats_gwl3_abschangeGWL12_ncra_reg.csv,0.862,0.0,0.45,2.5,1.056,,,,,
WANorth,0,Western Australia North,,,,,,ffdi_ndays_exceeding_75_allstats_gwl3_abschangeGWL12_ncra_reg.csv,16.47,1.2,19.803,28.075,10.064,,,,,
WASouth,1,Western Australia South,,,,,,ffdi_ndays_exceeding_75_allstats_gwl3_abschangeGWL12_ncra_reg.csv,13.753,2.025,12.6,24.525,8.1,,,,,
NSW,2,New South Wales and Australian Capital Territory,,,,,,ffdi_ndays_exceeding_75_allstats_gwl15_abschangeGWL12_ncra_reg.csv,,,,,,1.016,0.0,0.55,2.7,1.077
NT,6,Northern Territory,,,,,,ffdi_ndays_exceeding_75_allstats_gwl15_abschangeGWL12_ncra_reg.csv,,,,,,2.128,0.0,2.033,4.575,1.881
QLDNorth,7,Queensland North,,,,,,ffdi_ndays_exceeding_75_allstats_gwl15_abschangeGWL12_ncra_reg.csv,,,,,,0.251,0.0,0.05,0.9,0.498
QLDSouth,8,Queensland South,,,,,,ffdi_ndays_exceeding_75_allstats_gwl15_abschangeGWL12_ncra_reg.csv,,,,,,1.772,0.0,1.125,4.3,1.703
SA,4,South Australia,,,,,,ffdi_ndays_exceeding_75_allstats_gwl15_abschangeGWL12_ncra_reg.csv,,,,,,4.238,0.85,4.525,6.875,2.146
TAS,5,Tasmania,,,,,,ffdi_ndays_exceeding_75_allstats_gwl15_abschangeGWL12_ncra_reg.csv,,,,,,0.0,0.0,0.0,0.0,0.0
VIC,3,Victoria,,,,,,ffdi_ndays_exceeding_75_allstats_gwl15_abschangeGWL12_ncra_reg.csv,,,,,,0.256,0.0,0.075,0.85,0.4
WANorth,0,Western Australia North,,,,,,ffdi_ndays_exceeding_75_allstats_gwl15_abschangeGWL12_ncra_reg.csv,,,,,,6.066,0.2,5.875,12.725,4.65
WASouth,1,Western Australia South,,,,,,ffdi_ndays_exceeding_75_allstats_gwl15_abschangeGWL12_ncra_reg.csv,,,,,,5.034,0.675,5.575,8.35,2.804
