hotspot,lon,lat,area_km2,species_richness
Southwest Australia,117.93990697621167,-31.716537084309486,0.0,
Forest of East Australia,151.74827543629215,-29.60055763776008,0.0,
,113.60215668908867,-25.931188640357355,22042.969574500003,
,130.98573178792773,-25.32207619484306,1339.9414198,
,132.52320079459923,-13.00428515059605,19107.9501194,
,148.51828544422014,-18.57270875530534,348934.046574,
,145.5833044564281,-17.212513432599696,8938.28696295,
,159.07684144343855,-31.55336575357913,16.448423867,
,159.1665000000262,-31.624499999974205,1444.350382,
,153.14140559383264,-25.260342555829826,1818.3835470699998,
,138.63269166213334,-19.03345248738091,100.21486144500001,
,140.811182307259,-37.063399373048995,2.97163319598,
,143.10140572654296,-33.61814205733436,2391.8417424,
,150.46581371524184,-32.99978097872753,10337.200204300001,
,128.54654583213735,-17.448481596107182,2438.3087982800002,
,158.83127096498637,-54.729617730997546,5447.60927336,
,158.86460378567077,-54.628180870965934,124.42964429199999,
,152.12268850800487,-30.983801387782812,3686.6454108,
,73.28549404024594,-53.05420152306324,6222.63999797,
,73.51981161594553,-53.09379285939216,366.38904394099995,
,144.97158434294911,-37.80423386942035,0.244645694863,
,144.97150695751284,-37.80469081300164,0.00989264513323,
,151.21479704803593,-33.85748372540071,0.0383172730643,
,151.21955871174018,-33.85535406945888,4.33049628667,
,113.80104797990727,-22.55111693917249,6045.50757291,
,147.1352394902026,-41.62498497747159,3.15746611862,
,147.13880560804898,-41.62167631303521,2.38534850251,
,147.298512370427,-42.89351787298509,0.070978278689,
,147.2992481199477,-42.893809361436865,0.00717053955287,
,147.71699740514478,-42.983334687724266,1.3857934945400001,
,147.7164590357805,-42.98368462932944,2.6805535304799997,
,151.17213192633838,-33.847703745147776,0.47215605884,
,151.17211447692287,-33.84766779714047,0.200069575992,
,148.07298165082716,-42.58766319568035,19.694816811600003,
,148.070059485029,-42.58181072943671,3.7639101352599997,
,115.75241408620157,-32.05618492817755,0.19433196882499998,
,115.75354909100281,-32.05499933763749,0.06296985344150001,
,151.21204980074492,-33.869879890609695,0.057934139267700004,
,151.2127358549538,-33.86955311763105,0.00508981450942,
,167.9588042587716,-29.053400070328415,2.4202593699299997,
,150.99616088746063,-33.80926615198582,0.293485841895,
,150.99640069181532,-33.80964688572563,0.372448774443,
,150.9940037159656,-33.376929893580545,1.35197458365,
,150.99461633895567,-33.378672184186875,2.5697912147300004,
,147.84377266509438,-43.15776939929609,12.1733937666,
,147.85456000481872,-43.15083072032609,1.11111791536,
,146.18542432841537,-42.62244767788924,15855.233309,
,128.38390956293094,-17.369457315695744,803.124410271,
